question_from_llm,natural_question_arisen_from_code,python_script_path,tables,text,source_dataset,check_if_code_works,bias
"By state, how many individuals live in households that produced/sold dairy food in the last 12 months but do not use any plot/land for farming, and what is their average age?","For each state, how many individuals live in households that produced/sold dairy products in the last 12 months but did not use a plot/land for sowing or farming, and what is their average age, ranked by number of individuals (highest first)?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000011.py,"[""ii_portad"", ""ii_su"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,
"Among households that received Liconsa milk in the last 12 months and also produced/sold dairy food, which households received direct income from Other Government Program (in02a10) above the overall average among such households? List the top 10 households by that income, along with their household average age.","Among households that reported receiving Liconsa Milk in the last 12 months and produced/sold dairy foods in the last 12 months, which 10 households received the highest direct amounts from the Other Government Program, and what is the average age of interviewed persons in each?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000012.py,"[""ii_portad"", ""ii_in"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,
"By state (ent), what are the average ages and counts of interviewed individuals living in households that experienced a parcel robbery since 2005 versus those that did not? Return the top 10 states by highest average age among affected households.","Which 10 states have the highest average age of interviewed individuals living in households that reported a parcel being forcibly robbed since 2005, and for each of those states, what are the corresponding average ages and respondent counts for households that did (Yes) and did not (No) report such robberies?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000013.py,"[""ii_portad"", ""ii_su"", ""ii_vlh""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_vlh_enriched.txt""]",hh09dta_b2,yes,
"Among households that both received direct income from Other Government Program (in02a10 > 0) and use a plot/land (su01 = 1), which 10 states have the highest average household member age?","Among households that use a plot/land for sowing/farming/vegetables and received a positive direct amount from Other Government Program in the last 12 months, which 10 states have the highest average household age, and how many such households are in each state?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000014.py,"[""ii_portad"", ""ii_su"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,
"Among individuals living in households that both use agricultural land (su01=1) and reported a household member death in the last 5 years (se01a=1), excluding households that did not take any measure in response (se05_1h=9), how many such individuals are there by state (ent), sorted descending?","By state, how many individuals live in households that use a plot or land for cultivation, reported a household member's death in the last five years, and took some coping action (excluding those that did nothing), ranked from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000015.py,"[""ii_portad"", ""ii_se"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,
"Among individuals living in households that both own electronic devices and experienced a natural disaster in the last 5 years, what is the average age by state? Return states ranked by highest average age.","Among households that own an electronic device and reported losing their dwelling or business to a natural disaster in the last five years, what is the average age of interviewed individuals by state, and how many individuals are in each state, ordered by highest average age?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000016.py,"[""ii_portad"", ""ii_ah"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_ah_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,
"Which states have an average age of interviewed individuals living in households that feel unsafe at home (vlh04 in {3,4}) above the overall average age of such individuals, and how many individuals are in each state?","By state, what is the average age of interviewed individuals living in households that reported feeling unsafe or very unsafe at home, and how many such individuals were interviewed in each state, ordered from highest to lowest average age?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000017.py,"[""ii_portad"", ""ii_vlh"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,
"Which state(s) have the highest average amount received directly from Other Government Program (in02a10) among recipient households, and how many recipient households do they have?","Which state has the highest average amount received directly from the Other Government Program among households that received a positive amount, and how many recipient households are in that state?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000018.py,"[""ii_portad"", ""ii_in"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_in_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,
"Among households that both use agricultural plots (su01 = 1) and own/share a non-ag business (nna01 = 1), which states have the highest average age of interviewed individuals? Return the top 10 states by average age.","Among households that both use a plot/land for farming (su01=1) and own/share a non‑agricultural business (nna01=1), which 10 states have the highest average age of interviewed individuals, and how many individuals are included per state?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000019.py,"[""ii_portad"", ""ii_nna"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,
"Which state(s) have the highest average age among interviewed individuals living in households that both feel unsafe at home (vlh04 in {3,4}) and reported producing/selling crafts in the last 12 months (inr02f = 1)? Return the state code and the average age.","Which state(s) has the highest average age, and what is that average, among interviewed individuals living in households that reported feeling unsafe or very unsafe at home and that produced/sold crafts in the last 12 months?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000020.py,"[""ii_portad"", ""ii_vlh"", ""ii_inr""]","[""ii_portad_enriched.txt"", ""ii_vlh_enriched.txt"", ""ii_inr_enriched.txt""]",hh09dta_b2,yes,
"Among households where the interviewed household head (ls = '01') is aged 30 or older and the household both uses land for agriculture (su01 = 1) and owns/shares a non-ag business (nna01 = 1), which 5 states have the highest average expense on seeds (su234)?","Among households that use a plot/land for farming and also own or share a non-agricultural business, and where the individual with ID 01 is age 30 or older, which five states have the highest average household spending on seeds?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000021.py,"[""ii_portad"", ""ii_su"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,
"By state, how many households own/share a non-agricultural business and also use land for farming?","By state, how many households both use a plot/land for sowing, farming, or vegetables and have at least one member who owns or shares a non‑agricultural business, ranked from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000022.py,"[""ii_portad"", ""ii_su"", ""ii_nna""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_nna_enriched.txt""]",hh09dta_b2,yes,
Which Mexican state has the highest number of individuals aged 18 or older living in households that both use land for farming (su01=1) and own/share a non-agricultural business (nna01=1)?,"Which state or states have the highest number of adults (age 18+) living in households that both use a plot/land for farming and own or share a non-agricultural business, and what is that count?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000023.py,"[""ii_portad"", ""ii_nna"", ""ii_su""]","[""ii_portad_enriched.txt"", ""ii_nna_enriched.txt"", ""ii_su_enriched.txt""]",hh09dta_b2,yes,
"Which individuals in Oaxaca (ent=20) belong to households that experienced a disease/accident/hospitalization in the last 5 years (se01b=1) and participated in an Other Government Program in the last 12 months (in01a10_1=1), and are older than the average age of such individuals in Oaxaca?","List the household ID, individual ID, and age for people in Oaxaca whose households reported an illness/accident/hospitalization in the last five years and received income from the 'Other Government Program' in the last 12 months.",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000024.py,"[""ii_portad"", ""ii_se"", ""ii_in""]","[""ii_portad_enriched.txt"", ""ii_se_enriched.txt"", ""ii_in_enriched.txt""]",hh09dta_b2,yes,
Which states have the highest number of households that incurred debt in the last 12 months among households that reported a death of a household member in the last five years? Return the top 10 states sorted by count.,"Among households that experienced the death of a household member in the last five years, how many per state reported owing money on credit/loans in the last 12 months? List the top 10 states by count.",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000025.py,"[""ii_portad"", ""ii_crh"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_crh_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,
"By state (ent), how many households both use a plot/land (su01 = 1) and reported losing their total crop in the last 5 years (se01e = 1)? Sort states by this count descending.","By state, how many households that use a plot/land for sowing or farming also reported losing their entire crop in the last five years, sorted from highest to lowest?",python_script_for_queries/SQL_TYPE_ALONE/v1/hh09dta_b2/query_000026.py,"[""ii_portad"", ""ii_su"", ""ii_se""]","[""ii_portad_enriched.txt"", ""ii_su_enriched.txt"", ""ii_se_enriched.txt""]",hh09dta_b2,yes,
